COUNTRY,SPECIES (COMMON NAME),SPECIES (SCIENTIFIC NAME),YEAR OR SEASON,AREA OR STOCK,CATCH TOTAL,QUOTA (IF APPLICABLE)
Greenland,Narwhal,Monodon monoceros,2023,Total,599,654
Greenland,Narwhal,Monodon monoceros,2023,Zone 1 - Etah,0,10
Greenland,Narwhal,Monodon monoceros,2023,Zone 2 - Qaanaaq,132,128
Greenland,Narwhal,Monodon monoceros,2023,Zone 3 - Melville Bugt,173,113
Greenland,Narwhal,Monodon monoceros,2023,Zone 4 - Uummannaq,132,195
Greenland,Narwhal,Monodon monoceros,2023,Zone 5 - Disko bugt,121,147
Greenland,Narwhal,Monodon monoceros,2023,Zone 6 - Tasiilaq,5,21
Greenland,Narwhal,Monodon monoceros,2023,Zone 7 - Ittoqqortoormiit,11,20
Greenland,Narwhal,Monodon monoceros,2023,Zone 8 - kangerlussuaq,25,20
Greenland,Narwhal,Monodon monoceros,2022,Total,526,771
Greenland,Narwhal,Monodon monoceros,2022,Zone 1 - Etah,0,10
Greenland,Narwhal,Monodon monoceros,2022,Zone 2 - Qaanaaq,78,107
Greenland,Narwhal,Monodon monoceros,2022,Zone 3 - Melville Bugt,84,117
Greenland,Narwhal,Monodon monoceros,2022,Zone 4 - Uummannaq,220,305
Greenland,Narwhal,Monodon monoceros,2022,Zone 5 - Disko bugt,80,157
Greenland,Narwhal,Monodon monoceros,2022,Zone 6 - Tasiilaq,4,15
Greenland,Narwhal,Monodon monoceros,2022,Zone 7 - Ittoqqortoormiit,45,45
Greenland,Narwhal,Monodon monoceros,2022,Zone 8 - kangerlussuaq,15,15
Greenland,Narwhal,Monodon monoceros,2021,Total,419,547
Greenland,Narwhal,Monodon monoceros,2021,Zone 1 - Etah,3,6
Greenland,Narwhal,Monodon monoceros,2021,Zone 2 - Qaanaaq,91,98
Greenland,Narwhal,Monodon monoceros,2021,Zone 3 - Melville Bugt,70,70
Greenland,Narwhal,Monodon monoceros,2021,Zone 4 - Uummannaq,143,154
Greenland,Narwhal,Monodon monoceros,2021,Zone 5 - Disko bugt,92,173
Greenland,Narwhal,Monodon monoceros,2021,Zone 6 - Tasiilaq,7,7
Greenland,Narwhal,Monodon monoceros,2021,Zone 7 - Ittoqqortoormiit,2,29
Greenland,Narwhal,Monodon monoceros,2021,Zone 8 - kangerlussuaq,11,10
Greenland,Narwhal,Monodon monoceros,2021,Zone 9 - Northeast Greenland,0,0
Greenland,Narwhal,Monodon monoceros,2020,Zone 1 - Etah,2,6
Greenland,Narwhal,Monodon monoceros,2020,Zone 2 - Qaanaaq,91,93
Greenland,Narwhal,Monodon monoceros,2020,Zone 3 - Melville Bugt,46,71
Greenland,Narwhal,Monodon monoceros,2020,Zone 4 - Uummannaq,16,197
Greenland,Narwhal,Monodon monoceros,2020,Zone 5 - Disko bugt,68,153
Greenland,Narwhal,Monodon monoceros,2020,Zone 6 - Tasiilaq,22,12
Greenland,Narwhal,Monodon monoceros,2020,Zone 7 - Ittoqqortoormiit,36,32
Greenland,Narwhal,Monodon monoceros,2020,Zone 8 - kangerlussuaq,0,0
Greenland,Narwhal,Monodon monoceros,2020,Zone 9 - Northeast Greenland,0,0
Greenland,Narwhal,Monodon monoceros,2020,Total,281,564
Greenland,Narwhal,Monodon monoceros,2019,Inglefield Bredning,150,152
Greenland,Narwhal,Monodon monoceros,2019,Melville Bay,110,73
Greenland,Narwhal,Monodon monoceros,2019,West,198,303
Greenland,Narwhal,Monodon monoceros,2019,East,78,64
Greenland,Narwhal,Monodon monoceros,2019,Total,536,592
Greenland,Narwhal,Monodon monoceros,2018,Inglefield Bredning,52,98
Greenland,Narwhal,Monodon monoceros,2018,Melville Bay,65,90
Greenland,Narwhal,Monodon monoceros,2018,West,317,271
Greenland,Narwhal,Monodon monoceros,2018,East,73,66
Greenland,Narwhal,Monodon monoceros,2018,Total,507,530
Greenland,Narwhal,Monodon monoceros,2017,Inglefield Bredning,108,103
Greenland,Narwhal,Monodon monoceros,2017,Melville Bay,93,100
Greenland,Narwhal,Monodon monoceros,2017,West,134,231
Greenland,Narwhal,Monodon monoceros,2017,East,91,98
Greenland,Narwhal,Monodon monoceros,2017,Total,426,532
Greenland,Narwhal,Monodon monoceros,2016,Inglefield Bredning,81,103
Greenland,Narwhal,Monodon monoceros,2016,Melville Bay,91,90
Greenland,Narwhal,Monodon monoceros,2016,West,176,306
Greenland,Narwhal,Monodon monoceros,2016,East,53,82
Greenland,Narwhal,Monodon monoceros,2016,Total,401,581
Greenland,Narwhal,Monodon monoceros,2015,Inglefield Bredning,75,85
Greenland,Narwhal,Monodon monoceros,2015,Melville Bay,71,72
Greenland,Narwhal,Monodon monoceros,2015,West,72,153
Greenland,Narwhal,Monodon monoceros,2015,East,94,105
Greenland,Narwhal,Monodon monoceros,2015,Total,312,415
Greenland,Narwhal,Monodon monoceros,2014,Inglefield Bredning,102,85
Greenland,Narwhal,Monodon monoceros,2014,Melville Bay,113,120
Greenland,Narwhal,Monodon monoceros,2014,West,119,150
Greenland,Narwhal,Monodon monoceros,2014,East,81,110
Greenland,Narwhal,Monodon monoceros,2014,Total,415,465
Greenland,Narwhal,Monodon monoceros,2013,Inglefield Bredning,83,85
Greenland,Narwhal,Monodon monoceros,2013,Melville Bay,71,81
Greenland,Narwhal,Monodon monoceros,2013,West,130,144
Greenland,Narwhal,Monodon monoceros,2013,East,66,88
Greenland,Narwhal,Monodon monoceros,2013,Total,350,398
Greenland,Narwhal,Monodon monoceros,2012,Inglefield Bredning,131,85
Greenland,Narwhal,Monodon monoceros,2012,Melville Bay,83,83
Greenland,Narwhal,Monodon monoceros,2012,West,99,161
Greenland,Narwhal,Monodon monoceros,2012,East,48,129
Greenland,Narwhal,Monodon monoceros,2012,Total,361,458
Greenland,Narwhal,Monodon monoceros,2011,Inglefield Bredning,55,85
Greenland,Narwhal,Monodon monoceros,2011,Melville Bay,79,81
Greenland,Narwhal,Monodon monoceros,2011,West,117,144
Greenland,Narwhal,Monodon monoceros,2011,East,45,85
Greenland,Narwhal,Monodon monoceros,2011,Total,296,395
Greenland,Narwhal,Monodon monoceros,2010,Inglefield Bredning,89,85
Greenland,Narwhal,Monodon monoceros,2010,Melville Bay,52,81
Greenland,Narwhal,Monodon monoceros,2010,West,44,144
Greenland,Narwhal,Monodon monoceros,2010,East,33,85
Greenland,Narwhal,Monodon monoceros,2010,Total,218,395
Greenland,Narwhal,Monodon monoceros,2009/2010,Inglefield Bredning,63,85
Greenland,Narwhal,Monodon monoceros,2009/2010,Melville Bay,96,81
Greenland,Narwhal,Monodon monoceros,2009/2010,West,139,144
Greenland,Narwhal,Monodon monoceros,2009/2010,East,12,85
Greenland,Narwhal,Monodon monoceros,2009/2010,Total,310,395
Greenland,Narwhal,Monodon monoceros,2008/2009,Inglefield Bredning,115,90
Greenland,Narwhal,Monodon monoceros,2008/2009,West,267,320
Greenland,Narwhal,Monodon monoceros,2008/2009,East,76,No quota
Greenland,Narwhal,Monodon monoceros,2008/2009,Total,458,410
Greenland,Narwhal,Monodon monoceros,2007/2008,Inglefield Bredning,106,85
Greenland,Narwhal,Monodon monoceros,2007/2008,West,227,215
Greenland,Narwhal,Monodon monoceros,2007/2008,East,15,No quota
Greenland,Narwhal,Monodon monoceros,2007/2008,Total,348,300
Greenland,Narwhal,Monodon monoceros,2006/2007,Inglefield Bredning,72,70
Greenland,Narwhal,Monodon monoceros,2006/2007,West,209,247
Greenland,Narwhal,Monodon monoceros,2006/2007,East,40,No quota
Greenland,Narwhal,Monodon monoceros,2006/2007,Total,321,317
Greenland,Narwhal,Monodon monoceros,2005/2006,Inglefield Bredning,99,100
Greenland,Narwhal,Monodon monoceros,2005/2006,West,291,200
Greenland,Narwhal,Monodon monoceros,2005/2006,East,8,No quota
Greenland,Narwhal,Monodon monoceros,2005/2006,Total,398,300
Greenland,Narwhal,Monodon monoceros,2004/2005,Inglefield Bredning,0,100
Greenland,Narwhal,Monodon monoceros,2004/2005,West,45,200
Greenland,Narwhal,Monodon monoceros,2004/2005,East,N/A,No quota
Greenland,Narwhal,Monodon monoceros,2004/2005,Total,45,300
Greenland,Narwhal,Monodon monoceros,2003,West,666,No quota
Greenland,Narwhal,Monodon monoceros,2003,East,N/A,No quota
Greenland,Narwhal,Monodon monoceros,2003,Total,666,No quota
Greenland,Narwhal,Monodon monoceros,2002,West,488,No quota
Greenland,Narwhal,Monodon monoceros,2002,East,N/A,No quota
Greenland,Narwhal,Monodon monoceros,2002,Total,488,No quota
Greenland,Narwhal,Monodon monoceros,2001,West,609,No quota
Greenland,Narwhal,Monodon monoceros,2001,East,N/A,No quota
Greenland,Narwhal,Monodon monoceros,2001,Total,609,No quota
Greenland,Narwhal,Monodon monoceros,2000,West,600,No quota
Greenland,Narwhal,Monodon monoceros,2000,East,N/A,No quota
Greenland,Narwhal,Monodon monoceros,2000,Total,600,No quota
Greenland,Narwhal,Monodon monoceros,1999,Total,912,No quota
Greenland,Narwhal,Monodon monoceros,1998,Total,822,No quota
Greenland,Narwhal,Monodon monoceros,1997,Total,797,No quota
Greenland,Narwhal,Monodon monoceros,1996,Total,727,No quota
Greenland,Narwhal,Monodon monoceros,1995,Total,461,No quota
Greenland,Narwhal,Monodon monoceros,1994,Total,847,No quota
Greenland,Narwhal,Monodon monoceros,1993,Total,741,No quota
Greenland,Narwhal,Monodon monoceros,1992,Total,*No reported catches,No quota

